Atualização de taxas — 2026-09-21
========================================
✅ Caixa: 1.0% a.m. / 12.72% a.a. (encontrado agora, período 31/08/2026 a 04/09/2026)
✅ Banco do Brasil: 1.67% a.m. / 21.96% a.a. (encontrado agora, período 31/08/2026 a 04/09/2026)
✅ Bradesco: 1.73% a.m. / 22.89% a.a. (encontrado agora, período 31/08/2026 a 04/09/2026)
✅ Santander: 1.85% a.m. / 24.57% a.a. (encontrado agora, período 31/08/2026 a 04/09/2026)
✅ Itau: 2.04% a.m. / 27.36% a.a. (encontrado agora, período 31/08/2026 a 04/09/2026)
✅ Banco Inter: 1.65% a.m. / 21.69% a.a. (encontrado agora, período 31/08/2026 a 04/09/2026)
✅ C6 Bank: 1.97% a.m. / 26.3% a.a. (encontrado agora, período 31/08/2026 a 04/09/2026)
✅ BV Financeira: 2.27% a.m. / 30.93% a.a. (encontrado agora, período 31/08/2026 a 04/09/2026)
✅ Banco Pan: 2.83% a.m. / 39.75% a.a. (encontrado agora, período 31/08/2026 a 04/09/2026)
✅ Omni Financeira: 3.28% a.m. / 47.21% a.a. (encontrado agora, período 31/08/2026 a 04/09/2026)
✅ Banco Honda: 2.44% a.m. / 33.61% a.a. (encontrado agora, período 31/08/2026 a 04/09/2026)
✅ Banco Yamaha: 2.56% a.m. / 35.38% a.a. (encontrado agora, período 31/08/2026 a 04/09/2026)
